2024-02-21 14:11:10 [   DEBUG] Starting new HTTPS connection (1): httpbin.org:443 (connectionpool.py:1023)
2024-02-21 14:11:11 [   DEBUG] https://httpbin.org:443 "GET /basic-auth/abc/abc HTTP/1.1" 401 0 (connectionpool.py:483)
2024-02-21 14:11:11 [   DEBUG] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1023)
2024-02-21 14:11:12 [   DEBUG] https://petstore.swagger.io:443 "GET /v2/pet/192 HTTP/1.1" 404 None (connectionpool.py:483)
2024-02-21 14:11:12 [   DEBUG] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1023)
2024-02-21 14:11:13 [   DEBUG] https://petstore.swagger.io:443 "GET /v2/pet/192 HTTP/1.1" 404 None (connectionpool.py:483)
2024-02-21 14:11:13 [   DEBUG] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1023)
2024-02-21 14:11:14 [   DEBUG] https://petstore.swagger.io:443 "POST /v2/pet/ HTTP/1.1" 200 None (connectionpool.py:483)
2024-02-21 14:11:14 [   DEBUG] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1023)
2024-02-21 14:11:15 [   DEBUG] https://petstore.swagger.io:443 "POST /v2/pet/ HTTP/1.1" 200 None (connectionpool.py:483)
2024-02-21 14:11:15 [    INFO] New pet created successfully! (test_pets.py:20)
2024-02-21 14:11:15 [   DEBUG] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1023)
2024-02-21 14:11:16 [   DEBUG] https://petstore.swagger.io:443 "GET /v2/pet/1945 HTTP/1.1" 200 None (connectionpool.py:483)
2024-02-21 14:11:16 [    INFO] Get message done! (test_pets.py:30)
2024-02-21 14:11:16 [   DEBUG] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1023)
2024-02-21 14:11:17 [   DEBUG] https://petstore.swagger.io:443 "PUT /v2/pet/ HTTP/1.1" 200 None (connectionpool.py:483)
2024-02-21 14:11:17 [   DEBUG] Starting new HTTPS connection (1): petstore.swagger.io:443 (connectionpool.py:1023)
2024-02-21 14:11:18 [   DEBUG] https://petstore.swagger.io:443 "DELETE /v2/pet/1945 HTTP/1.1" 200 None (connectionpool.py:483)
